ángelait	ángelaite
genever	genever
gene	genes
genferin	genevan
genferisch	genevese
genfer	genevan
genforscherin	geneticist
genforscher	geneticist
genf	geneva
gengenbachit	gengenbachite
genial	brilliant
genialität	brilliancy
genial	resourceful
genickstück	crownpiece
genickt	nodded
genick	nape
genidentisch	syngeneic
genießbar	comestible
genießbarkeit	edibility
genießbar	palatable
genießend	enjoying
genießen	enjoyment
genießerin	afficionada
genießerisch	appreciative
genießer	afficionado
genien	genii
genierlich	embarrassing
geniert	embarrassed
geniertheit	embarrassment
genieselt	drizzled
geniesel	drizzling
geniestreich	masterstroke
geniest	sneezed
genies	genii
genietet	riveted
genie	genius
genioplastie	genioplasty
geniospasmus	geniospasm
genippt	sipped
genisa	genisah
genisot	genizahs
genistein	genistein
genistet	nested
genitale	genitals
genital	genital
genitalien	crotch
genitalschutz	jockstrap
genitalwarze	condyloma
genital	genital
genitive	genitives
genitivisch	genitive
genitiv	genitive
genitofemoral	genitofemoral
genitografie	genitography
genitografisch	genitographic
genitographie	genitography
genitographisch	genitographic
genitoplastik	genitoplasty
genitor	genitor
genius	genius
genkinit	genkinite
genkopie	genocopy
genmanipuliert	bioengineered
genodermatose	genodermatosis
genogramm	genogram
genomforschung	genomics
genomik	genomics
genomisch	genomic
genommen	kept
genom	genome
genophobie	genophobia
genoppt	nubby
genormt	standardised
genossen	enjoyed
genossenschaften	associations
genossenschaftlich	cooperative
genossenschaft	association
genossen	comrades
genosse	associate
genossinnen	comrades
genossin	comrade
genotoxisch	genotoxic
genotoxizität	genotoxicity
genotypen	genotypes
genotypisch	genotypic
genotypisierung	genotyping
genotypus	genotype
genotyp	genotype
genozid	genocide
genre	genre
gentamicin	gentamicin
gentamycin	gentamycin
gentechnisch	genetic
genthelvin	genthelvite
gentianophil	gentianophilic
gentianophob	gentianophobic
gentilhomme	gentleman
gentiobiose	gentiobiose
gentlemanlike	gentlemanly
gentleman	gentleman
gentlemen	gentlemen
gentoxizität	genotoxicity
gentrifikation	gentrification
gentrifizierung	gentrification
gentry	gentry
gent	dandy
genußsucht	hedonism
genua	genoa
genueserin	genoese
genueser	genoese
genuese	genoese
genuesin	genoese
genuesisch	genoese
genug	adequate
genugsam	sufficiently
genug	sufficient
genugtuung	amends
genuin	congenital
genuschelt	mumbled
genuschel	mumbling
genussüchtig	hedonistic
genussmensch	epicurean
genusssüchtig	epicurean
genusssucht	hedonism
genussvoll	appreciative
genuss	enjoyment
genus	voice
genutet	grooved
genutzt	occupied
genu	genu
gen	toward
geoökologe	geoecologist
geoökologie	geoecology
geoökologin	geoecologist
geoökologisch	geoecological
geoarchäologie	geoarchaeology
geoarchäologisch	geoarchaeological
geobiologie	geobiology
geobotanikerin	geobotanist
geobotaniker	geobotanist
geobotanik	geobotany
geocachen	geocaching
geocacherin	geocacher
geocache	geocache
geocaching	geocaching
geochemie	geochemistry
geochemiker	geochemist
geochemisch	geochemical
geochronologie	geochronology
geochronologisch	geochronologic
geodäsie	geodesy
geodäte	geodesic
geodätin	geodesist
geodätisch	geodesic
geodät	geodesist
geodaten	geodata
geodynamo	geodynamo
geoelektrisch	geoelectrical
geoelement	geoelement
geoffenbart	unbosomed
geofon	geophone
geoforschung	georesearch
geofraktur	lineament
geogen	geogenic
geoglyph	geoglyph
geognosie	geognosis
geografie	geography
geografin	geographer
geografisch	geographic
geograf	geographer
geographen	geographers
geographie	geography
geographin	geographer
geographisch	geographic
geograph	geographer
geohydrologie	geohydrology
geoid	geoid
geoinformatik	geoinformatics
geokodierung	geocoding
geokronit	geocronite
geokryologie	geocryology
geokryologisch	geocryological
geokunststoff	geosynthetic
geologen	geologists
geologe	geologist
geologie	geology
geologin	geologist
geologisch	geologic
geomagnetisch	geomagnetic
geomagnetismus	geomagnetism
geomantie	geomancy
geomantiker	geomancer
geomantik	geomancy
geomant	geomancer
geomarketing	geomarketing
geomatik	geomatics
geomedizin	geomedicine
geometer	geometrician
geometrie	geometry
geometrisch	geometric
geometrisierung	geometrization
geomorphographie	geomorphography
geomorphologie	geomorphology
geomorphologisch	geomorphological
geomorphometrie	geomorphometry
geomorphometrisch	geomorphometric
geonastie	geonasty
geonastisch	geonastic
geonim	geonim
geopark	geopark
geopathie	geopathy
geopathologie	geopathology
geopbyte	geopbyte
geopfert	immolated
geophagie	geophagy
geophil	geophilic
geophon	geophone
geophysikalisch	geophysical
geophysikerin	geophysicist
geophysiker	geophysicist
geophysik	geophysics
geophyt	geophyte
geopolitikerin	geopolitician
geopolitiker	geopolitician
geopolitik	geopolitics
geopolitisch	geopolitical
geordert	ordered
geordie	geordie
geordnet	classified
geordnetheit	orderliness
geordnet	orderly
georeferenzierung	georeferencing
georessourcen	georesources
georgbarsanovit	georgbarsanovite
georgbokiit	georgbokiite
georgechaoit	georgechaoite
georgeericksenit	georgeericksenite
georgeit	georgeite
georgerobinsonit	georgerobinsonite
georgetown	georgetown
georgette	georgette
georgiadesit	georgiadesite
georgianisch	georgian
georgia	georgia
georgien	georgia
georgierinnen	georgians
georgierin	georgian
georgier	georgian
georgine	dahlia
georgisch	georgian
georg	george
georisiko	geohazard
geortet	located
geosphäre	geosphere
geostationär	geostationary
geostatistik	geostatistics
geostrategisch	geostrategic
geostrophisch	geostrophic
geosutur	suture
geosynchron	geosynchronous
geosynklinale	geosyncline
geosynklinal	geosynclinal
geotaxis	geotaxis
geotechnik	geotechnics
geotechnologie	geotechnology
geotextilien	geotextiles
geothermal	geothermal
geothermie	geothermics
geothermik	geothermics
geothermisch	geothermal
geotop	geotope
geotrichose	geotrichosis
geotropisch	geotropic
geotropismus	geotropism
geowissenschaften	geosciences
geowissenschaftlerin	geoscientist
geowissenschaftler	geoscientist
geowissenschaftlich	geoscientific
geowissenschaft	geoscience
geozentrik	geocentrism
geozentrisch	geocentric
geozentrismus	geocentrism
geozyklisch	geocyclic
gepäckablage	overhead
gepäckaufbewahrung	checkroom
gepäckfach	overhead
gepäckmann	baggageman
gepäcknetz	rack
gepäckraum	boot
gepäcktasche	pannier
gepäckträger	porter
gepäckwagen	baggagecar
gepäck	baggage
gepökelt	corned
gepaart	coupled
gepachtet	leased
gepackt	gripped
gepaddelt	paddled
gepafft	whiffed
gepanscht	adulterated
gepanzert	armed
geparden	cheetahs
geparde	cheetahs
gepard	cheetah
geparkt	parked
gepasst	fit
gepatcht	patched
gepatzt	fluffed
gepaukt	swotted
gepaust	calked
gepeell	tschipiell
gepeinigt	anguished
gepeitscht	beaten
gependelt	commuted
geperlt	pelletized
gepfählt	impaled
gepfändet	attached
gepfändeter	distrainee
gepfändete	distrainee
gepfeffert	peppered
gepfeife	whistling
gepfiffen	piped
gepflückt	picked
gepflügt	furrowed
gepflanzt	planted
gepflastert	cobbled
gepflegt	cherished
gepflegtheit	trimness
gepflegt	manicured
gepflogenheiten	conventions
gepflogenheit	convention
gepflogen	customary
gepfuscht	botchy
gephotoshopt	photoshopped
gephyrophob	gephyrophobic
gephyrophobie	gephyrophobia
gepickelt	pickled
gepicknickt	picnicked
gepickt	pecked
gepiden	gepidae
gepiepst	cheeped
gepiept	beeped
gepierct	pierced
gepikst	pricked
gepikt	pricked
gepilgert	pilgrimaged
gepinkelt	piddled
gepiron	gepirone
gepirscht	stalked
gepisst	pissed
geplänkel	skirmish
geplärre	blubbering
geplätscher	splashing
geplättet	flabbergasted
geplündert	harried
geplagt	annoyed
geplanscht	swashed
geplant	calculated
geplappert	burbled
geplapper	cackle
geplatsche	splashing
geplatscht	plashed
geplatzt	burst
geplaudert	chatted
geplauder	chat
geplumpst	plopped
gepolstert	cushioned
gepoltert	jangled
gepolter	bluster
gepolt	polarized
gepoppt	popped
gepose	act
gepräge	cachet
geprägt	coined
gepränge	showiness
geprüft	audited
geprügelt	caned
geprahle	showiness
geprahlt	boasted
geprasselt	clattered
gepreßt	pressed
gepredigt	preached
geprellt	bruised
gepresst	constrained
gepriesen	eulogized
geprobt	rehearsed
geprotzt	splurged
gepudert	powdered
gepuffert	buffered
gepulst	pulsed
gepulvert	powdered
gepumpt	pumped
gepunktet	dotted
gepunzt	hallmarked
geputzt	cleaned
gequäke	whining
gequält	afflicted
gequake	quacking
gequakt	croaked
gequantelt	quantised
gequasselt	yapped
gequassel	mouth
gequatsche	blathering
gequatscht	gabbed
gequellt	soaked
gequengelt	grizzled
gequengel	querulousness
gequengle	querulousness
gequert	crossed
gequetscht	bruised
gequieke	squeak
gequiekt	squeaked
gequietsche	squeaking
gequietscht	squeaked
gequirlt	whisked
gequollen	soaked
gerächt	avenged
gerädert	knackered
geräkelt	lolled
gerändelt	knurled
geräteausstattung	instrumentation
gerätebaugruppe	package
gerätefehler	bug
gerätegruppe	cluster
gerätestandort	site
gerätestativ	stand
gerätetechnik	hardware
geräteteil	component
gerätewagen	cart
geräte	apparatuses
gerätschaften	appliances
gerätschaft	equipment
gerät	apparatus
geräuchert	cured
geräumig	ample
geräumiger	roomier
geräumigkeit	ampleness
geräumig	roomy
geräumigste	roomiest
geräumig	wide
geräumt	cleared
geräuschärmer	quieter
geräuschüberempfindlichkeit	hyperacusis
geräuscharm	quiet
geräuschdämpfung	soundproofing
geräuschempfindlich	noisy
geräusche	noises
geräuschfrei	noiseless
geräuschhaftigkeit	noisiness
geräuschlosigkeit	noiselessness
geräuschlos	noiseless
geräuschunterempfindlichkeit	hypacusis
geräuschvoll	boisterous
geräuschvoller	noisier
geräuschvoll	noisily
geräusch	noise
geröchel	rattle
geröllblock	boulder
geröllfracht	bedload
geröll	boulders
geröstet	parched
gerötet	reddened
gerüche	odors
gerüchteverbreiter	rumorist
gerüchte	rumors
gerücht	bruit
gerückt	moved
gerügt	blamed
gerühmt	vaunted
gerührt	emotional
gerülpst	belched
gerümpel	clutter
gerüscht	flouncy
gerüstbauer	scaffolder
gerüster	scaffolder
gerüstet	armed
gerüste	framework
gerüstpfeilerviadukt	tressel
gerüstsilikate	tectosilicates
gerüst	cradle
gerüttelt	jogged
gerüttel	jounce
geradeaus	ahead
geradebiegen	straightening
gerade	direct
geradegelegt	uncrossed
geradeheraus	baldly
geradelegend	uncrossing
geradelt	cycled
geradenwegs	directly
gerade	right
geradeswegs	directly
geradewegs	directly
geradezu	downright
gerade	erect
geradheit	erectness
geradlinigkeit	directness
geradlinig	lineally
geradsalmler	lutefishes
geradsinnig	honest
geradzahlig	even
geradzahligkeit	parity
geraffel	junk
gerafft	reaped
gerahmt	framed
gerammt	rammed
gerandet	bordered
gerangel	jockeying
geranie	geranium
geranke	embellishment
gerank	embellishment
gerannt	raced
geranylgeranylierung	geranylgeranylation
geraschelt	rustled
geraschel	rustle
gerasimovskit	gerasimovskite
geraspelt	grated
gerasselt	rattled
gerassel	brattle
gerast	dashed
gerastert	screened
gerast	raged
geraten	advised
geratter	rattle
geraubt	raped
geraucht	reeked
geraufe	scuffling
gerauft	scuffled
gerauht	napped
geraum	considerable
geraune	murmuring
geraunt	murmured
gerausche	roaring
gerauscht	whooshed
geraut	napped
gerbend	tanning
gerben	tanning
gerbera	gerbera
gerbereien	tanneries
gerberei	tannery
gerberfett	degras
gerberlohe	tanbark
gerber	tanner
gerbilarium	gerbilarium
gerbil	gerbil
gerbsäure	tannin
gerbstoffe	tannins
gerbstoffreich	tannic
gerbstoff	tannin
gerdtremmelit	gerdtremmelite
gerebelt	rubbed
gerechnet	ciphered
gerecht	equitable
gerechter	fairer
gerechterweise	rightfully
gerechteste	fairest
gerechte	just
gerecht	fair
gerechtfertigtermaßen	justifiably
gerechtfertigt	justifiable
gerechtigkeiten	equitableness
gerechtigkeit	equity
gerecht	just
gerechtmachung	justification
gerechtsame	franchise
gerecht	legitimate
geredet	spoken
gerede	gossip
geregelt	arranged
geregeltheit	regularity
geregelt	regularized
geregnet	rained
gereiftheit	maturity
gereift	matured
gereiht	ranked
gereimt	rhymed
gereinigt	cleaned
gereist	journeyed
gereizt	annoyed
gereiztheit	huffiness
gereizt	irascibly
gerekelt	lolled
gerendert	rendered
gerenne	running
gerenuk	gerenuk
gerettet	rescued
gere	gore
gerfalke	gerfalcon
gergovia	gergovie
gerhardtit	gerhardtite
geriaterin	geriatrician
geriater	geriatrician
geriatrie	geriatrics
geriatrisch	geriatric
gerichtet	directed
gerichte	dishes
gerichtlich	forensic
gerichtsakte	record
gerichtsbann	jurisdiction
gerichtsbarkeitsbezirk	soke
gerichtsbarkeit	abbacy
gerichtsbefehl	writ
gerichtsbeschluss	adjudication
gerichtsbezirk	circuit
gerichtsdienerin	bailiff
gerichtsdiener	apparitor
gerichtsentscheid	decree
gerichtsferien	recess
gerichtsgebäude	courthouse
gerichtsgewalt	jurisdiction
gerichtsherr	judge
gerichtshof	courthouse
gerichtskasten	pigeonhole
gerichtsmediziner	coroner
gerichtsmedizinisch	forensic
gerichtsmedizin	forensics
gerichtsraum	courtroom
gerichtssaal	courtroom
gerichtsschreiber	stenographer
gerichtssitzung	hearing
gerichtsstand	forum
gerichtsurteil	verdict
gerichtsverfahren	causa
gerichtsverfassung	judiciary
gerichtsverhandlung	trial
gerichtsvollzieher	bailiff
gerichtsvorladung	citation
gerichtswesen	courts
gericht	bar
gerieben	grated
geriebenheit	shrewdness
gerieben	rubbed
gerieft	serrated
geriesel	trickling
geriffelt	corrugated
gerillt	corrugated
geringachtung	contempt
geringaktiv	hypoactive
geringelt	curled
geringer	inferior
geringfügig	exiguous
geringfügigkeit	exiguity
geringfügig	marginally
geringfügigst	minimally
geringfügig	trifling
gering	humble
geringmächtig	thin
gering	meagre
geringschätzend	flouting
geringschätzig	contemptuous
geringschätzigkeit	contemptuousness
geringschätzig	derogatory
geringschätzung	contempt
gering	slight
geringste	least
geringster	least
geringste	slightest
geringstmaß	minimum
geringstwert	minimum
geringwertig	inferior
geringwertigkeit	baseness
geringwertig	poor
gering	meager
gerinnbar	coagulable
gerinnbarkeit	coagulability
gerinnend	clotting
gerinnen	coagulation
gerinne	channel
gerinnsel	clot
gerinnungsfördernd	coagulant
gerinnungshemmend	anticoagulant
gerinnungshemmer	anticoagulant
gerinnungshemmung	anticoagulation
gerinnungsmittel	coagulant
gerinnungsstörung	coagulopathy
gerinnungsstatus	coagulogram
gerinnung	clotting
gerippe	atomy
gerippt	corded
gerissen	artful
gerissenerweise	smartly
gerissen	fly
gerissenheit	canniness
gerissen	quirkily
geritten	bestridden
geritzt	scarified
gerlingen	guerlange
germacren	germacrene
germanentum	germanism
germanenwurzel	parsnip
germanen	germani
germane	teuton
germanien	germania
germanin	teuton
germanisch	germanic
germanisierung	germanisation
germanismus	germanism
germanisten	germanists
germanistinnen	germanists
germanistin	germanist
germanistisch	german
germanist	germanist
germanit	germanite
germanium	germanium
germanocolusit	germanocolusite
germanophil	germanophile
germanophilie	germanophilia
germinal	germinal
germinativ	germinative
germinom	germinoma
germinozyten	germinocytes
germinozyt	germinocyte
germ	barm
gerne	gladly
gernegroß	snip
gerne	lief
gern	gladly
gerochen	smelled
gerockt	rocked
gerodelt	tobogganed
gerodet	cleared
gerodontie	gerodontia
gerodontologie	gerodontology
gerollt	rolled
geronnen	clotted
gerontagogik	gerontagogics
gerontokratie	gerontocracy
gerontologe	gerontologist
gerontologie	gerontology
gerontologisch	gerontological
gerontophilie	gerontophilia
gerontophobie	gerontophobia
gerontopsychiatrie	geropsychiatry
gerontoxon	gerontotoxon
gerostet	oxidized
gerostomatologie	gerostomatology
gerostomatologisch	gerostomatologic
gerry	gerry
gersdorffit	gersdorffite
gerstenart	bere
gerstenkaltschale	beer
gerstenkorn	barleycorn
gerstenlimonade	beer
gerstenmehlkuchen	bannock
gerstensaft	beer
gerste	barley
gerstleyit	gerstleyite
gerstl	dosh
gerstmannit	gerstmannite
gertenschlank	slender
gerte	crop
gertrud	gertrude
geruchlosigkeit	inodorousness
geruchlos	inodorous
geruchsblind	anosmic
geruchsblindheit	anosmia
geruchsfährte	tracking
geruchsillusion	pseudosmia
geruchslos	odorless
geruchsneutral	odorless
geruchsnote	scent
geruchssinn	olfaction
geruchsstoff	odorant
geruchsträger	odoriphore
geruchstragend	osmophoric
geruchtilgend	deodorant
geruchverschluss	trap
geruch	odor
gerudert	oared
gerufen	called
gerufener	callee
gerufene	callee
gerufen	shouted
geruhend	condescending
geruhsam	comfortably
geruht	rested
gerumpelt	rumbled
gerundet	curved
gerundial	gerundial
gerundien	gerunds
gerundium	gerund
gerundivisch	gerundival
gerundiv	gerundive
gerund	gerund
gerungen	struggled
gerunzelt	puckered
gerupft	plucked
gerusia	gerousia
gerutscht	skidded
ger	spear
gesäßbacken	buttocks
gesäßbacke	bun
gesäß	bottom
gesägt	sawed
gesänge	cantos
gesät	seeded
gesättigt	sated
gesätze	decades
gesätz	decade
gesäubert	cleaned
gesäuberte	purgee
gesäubert	sanitized
gesäuert	acidulated
gesäuge	teats
gesäugt	nursed
gesäumt	hemmed
gesäusel	whisper
gesöffe	swills
gesöff	brew
gesüßt	dulcified
gesülze	claptrap
gesünder	healthier
gesündeste	healthiest
gesündigt	sinned
gesüppelt	drunk
gesabbel	drivel
gesabbert	slavered
gesabber	drivel
gesackt	sagged
gesagt	said
gesalbt	anointed
gesalzen	salted
gesammelt	aggregate
gesamt	aggregate
gesamtbetrag	total
gesamt	collected
gesamteindruck	ensemble
gesamt	entire
gesamternte	crops
gesamtgläubiger	cocreditor
gesamtgläubige	cocreditor
gesamtgröße	aggregate
gesamtheiten	totalities
gesamtheit	aggregate
gesamtkeimzahl	bioburden
gesamtkunstwerk	gesamtkunstwerk
gesamtlänge	footage
gesamtmenge	aggregate
gesamt	overall
gesamtschau	overview
gesamtschuldner	codebtor
gesamtsumme	aggregate
gesamt	total
gesamtverdunstung	evapotranspiration
gesamtwerk	oeuvre
gesamt	whole
gesamtwirtschaftlich	macroeconomic
gesamtwirtschaft	macroeconomy
gesamtzahl	ballot
gesandet	sanded
gesandstrahlt	sandblasted
gesandt	despatched
gesandter	ambassador
gesandte	envoy
gesandt	forwarded
gesandtin	envoy
gesandt	posted
gesandtschaftsbeamter	attaché
gesandtschaft	delegation
gesandt	sent
gesangbücher	hymnals
gesangbuch	hymnal
gesanglich	vocal
gesangsbuch	hymnbook
gesangslage	tessitura
gesangsstück	vocal
gesangsstimme	voice
gesangsverein	choir
gesangverein	choir
gesangvoll	canorous
gesang	carol
gesaufe	boozing
gesaugt	sucked
gesause	buzzing
gesaust	rushed
gescannt	scanned
geschädigt	aggrieved
geschädigte	victims
geschädigt	impaired
geschäftemacherei	profiteering
geschäfte	affairs
geschäftig	bustling
geschäftigkeit	activity
geschäftigsein	busyness
geschäftig	stirring
geschäftlich	business
geschäftsübernahme	takeover
geschäftsabschlüsse	dealings
geschäftsantwortsendung	freepost
geschäftsanzeige	advertisement
geschäftsaufgabe	closure
geschäftsauflösung	liquidation
geschäftsbücher	accounts
geschäftsbedingungen	conditions
geschäftsbelebung	boom
geschäftsbereich	portfolio
geschäftsbetrieb	business
geschäftsbeziehungen	connections
geschäftsbuch	journal
geschäftseinnahmen	proceeds
geschäftseröffnung	opening
geschäftsführend	acting
geschäftsführerin	manageress
geschäftsführer	factor
geschäftsführung	management
geschäftsfirmen	commercials
geschäftsfrauen	tradeswomen
geschäftsfrau	businesswoman
geschäftsfreund	correspondent
geschäftsgang	transaction
geschäftshäuser	commercials
geschäftshaus	house
geschäftsherr	chief
geschäftsinhaber	principal
geschäftskarte	card
geschäftskosten	cost
geschäftskunde	client
geschäftsleben	business
geschäftsleitung	management
geschäftsleute	businessmen
geschäftslokal	premise
geschäftsmäßig	businesslike
geschäftsmänner	businessmen
geschäftsmann	businessman
geschäftsmethode	practice
geschäftsordnung	rules
geschäftspartner	affiliate
geschäftsräume	premises
geschäftsrückgang	downturn
geschäftsraum	office
geschäftsstadt	city
geschäftsstelle	agency
geschäftsstube	bureau
geschäftstüchtig	efficient
geschäftstüchtigkeit	smartness
geschäftstüchtig	shrewd
geschäftsträchtig	busy
geschäftsumsatz	turnover
geschäftsunfähigkeit	incapacity
geschäftsviertel	city
geschäftsvorgang	transaction
geschäftswelt	city
geschäftswert	goodwill
geschäftswesen	economics
geschäftszimmer	bureau
geschäftszweig	branch
geschäft	affair
geschäker	flirting
geschält	hulled
geschändet	abased
geschärft	edged
geschätzt	estimated
geschäumt	foamed
geschönt	beautified
geschöpfe	creatures
geschöpflich	creatural
geschöpflichkeit	creatureliness
geschöpft	dipped
geschöpf	creature
geschürft	digged
geschürt	poked
geschürzt	pursed
geschüttelt	shaken
geschüttel	shaking
geschützbank	barbette
geschützbronze	gunmetal
geschütze	artillery
geschützfeuer	cannonade
geschützmetall	gunmetal
geschützt	harboured
geschütztheit	guardedness
geschützt	immune
geschützturm	turret
geschützt	shielded
geschütz	cannon
geschabt	grated
geschachtelt	nested
geschadet	derogated
geschaffen	created
geschaffenes	creature
geschaffenheit	createdness
geschaffensein	createdness
geschafft	managed
geschaftlhuber	busybody
geschaltet	switched
gescharre	scratching
geschasst	fired
geschaudert	shivered
geschaufelt	scooped
geschaukelt	dandled
geschaut	looked
gescheckt	piebald
geschehend	happening
geschehen	happened
geschehnisse	events
geschehnis	event
gescheide	entrails
gescheit	brightly
gescheitelt	parted
gescheiter	saner
gescheitert	aborted
gescheiteste	sanest
gescheitheit	saneness
gescheit	intelligent
geschenkartikel	gifts
geschenke	bestowments
geschenkkörbe	hampers
geschenkkorb	hamper
geschenkt	bestowed
geschenk	bestowment
geschert	reeved
gescherzt	frolicked
gescheuert	scoured
gescheut	shied
geschichtchen	storiette
geschichtenerzählen	storytelling
geschichtenerzählerin	raconteuse
geschichtenerzähler	raconteur
geschichtenmacher	cooker
geschichtenschreiber	storywriter
geschichten	histories
geschichtet	layered
geschichte	history
geschichtlich	historical
geschichtlichkeit	historicality
geschichtsdidaktiker	historiographer
geschichtsforscher	historian
geschichtslos	ahistorical
geschichtsschreiberin	annalist
geschichtsschreiber	annalist
geschichtsschreibung	historiography
geschichtswissenschaftler	historian
geschichtswissenschaft	history
geschicke	skills
geschicklichkeiten	skills
geschicklichkeit	ability
geschickt	able
geschickter	handier
geschickterweise	happily
geschickteste	handiest
geschickt	expert
geschicktheit	adroitness
geschickt	ingenious
geschick	ability
geschieße	shooting
geschiebelehm	till
geschiebemergel	till
geschiebe	debris
geschieden	divorced
geschiedener	divorcé
geschiedene	divorcée
geschieden	parted
geschiefert	schistose
geschielt	squinted
geschienen	seemed
geschient	splinted
geschifft	navigated
geschildert	depicted
geschillert	shimmered
geschimmelt	moulded
geschimpfe	railing
geschimpft	badmouthed
geschippert	sailed
geschirmt	shielded
geschirrschrank	cupboard
geschirrspüler	dishwasher
geschirrspülmaschine	dishwasher
geschirrtücher	dishtowels
geschirrtuch	dishtowel
geschirr	crockery
geschissen	shitted
geschlängelt	vermiculated
geschlüpft	hatched
geschlürft	sipped
geschlabber	slop
geschlachtet	butchered
geschlackt	slagged
geschlafen	nodded
geschlagen	batted
geschlaucht	knackered
geschlechterfolge	line
geschlechter	genera
geschlechtlich	carnal
geschlechtlichkeit	sexuality
geschlechtlich	sexual
geschlechtsöffnung	vent
geschlechtsakt	coitus
geschlechtsbestimmerin	sexer
geschlechtsbestimmer	sexer
geschlechtsbestimmung	sexing
geschlechtslos	asexual
geschlechtslosigkeit	asexuality
geschlechtslos	neuter
geschlechtsneutral	agendered
geschlechtsorgane	genitalia
geschlechtspotenz	virility
geschlechtsreif	adult
geschlechtsreife	puberty
geschlechtsreif	pubescent
geschlechtsspezifisch	gendered
geschlechtsteile	genitalia
geschlechtsteil	genitals
geschlechtsumwandlung	transgendering
geschlechtsverkehr	intercourse
geschlechtswort	article
geschlechtszelle	gamete
geschlecht	gender
geschleift	dragged
geschlemmt	feasted
geschlendert	roamed
geschleppt	dragged
geschleudert	flung
geschleust	channelled
geschlichen	crept
geschlichtet	mediated
geschliffen	ground
geschlittert	sledded
geschlitzt	slit
geschlossen	close
geschlossenheit	closedness
geschlossen	locked
geschlottert	shivered
geschluchze	sobbing
geschluchzt	snivelled
geschluckt	swallowed
geschlummert	drowsed
geschlungen	looped
geschlurft	scuffed
geschlussfolgert	inferred
geschmäcker	tastes
geschmäht	abused
geschmälert	narrowed
geschmückt	bedecked
geschmachtet	languished
geschmacklich	flavourful
geschmacklos	campy
geschmacklosigkeiten	insipidness
geschmacklosigkeit	inelegance
geschmacklos	indelicately
geschmacksbild	flavour
geschmacksblindheit	ageusia
geschmacksintensiv	flavorful
geschmacksmuster	geschmacksmuster
geschmacksneutral	tasteless
geschmacksorgasmus	mouthgasm
geschmacksrichtungen	flavors
geschmacksrichtung	flavor
geschmackssorten	flavors
geschmacksstoff	flavoring
geschmacksverlust	ageusia
geschmacksvermögen	gustation
geschmackvoll	elegant
geschmack	flavoring
geschmatzt	smacked
geschmeckt	smacked
geschmeiß	droppings
geschmeichelt	bland
geschmeichel	flattery
geschmeide	jewellery
geschmeidig	ductile
geschmeidigkeit	lissomeness
geschmeidig	lissom
geschmerzt	ached
geschmettert	dashed
geschmetter	blare
geschmiedet	forged
geschmiegt	nestled
geschmiere	daubery
geschmiert	lubricated
geschmier	scrawl
geschminkt	painted
geschmirgelt	sanded
geschmissen	thrown
geschmollt	pouted
geschmolzen	liquefied
geschmort	braised
geschmuggelt	bootleg
geschmunzelt	smiled
geschmunzel	smirking
geschmuse	petting
geschmust	smooched
geschnäuzt	blown
geschnörkel	curlicues
geschnüffelt	sniffed
geschnüffel	sniffing
geschnürt	corded
geschnallt	strapped
geschnalzt	clicked
geschnappt	collared
geschnarche	snoring
geschnarcht	snored
geschnarrt	buzzed
geschnattert	cackled
geschnatter	cackle
geschnaubt	snorted
geschneidert	tailored
geschneit	snowed
geschnetzelt	goujoned
geschneuzt	blown
geschniegelt	titivated
geschnippelt	snipped
geschnippt	snipped
geschnitten	chopped
geschnitzt	carved
geschnoben	snorted
geschnorchelt	snorkeled
geschnorrt	cadged
geschnuppert	snuffled
geschnurrt	purred
geschoß	bullet
geschoben	pushed
geschockt	shattered
gescholten	chidden
geschont	spared
geschoren	shaven
geschossartig	chermadic
geschossbahn	trajectory
geschossen	shot
geschosse	floors
geschoss	floor
geschottert	graveled
geschrägt	bevelled
geschröpft	cupped
geschrammt	striated
geschraubt	bolted
geschraubtheit	stiltedness
geschraubt	screwed
geschreibsel	scribble
geschrei	bawling
geschrieben	written
geschrieen	cried
geschrien	screamed
geschritten	stridden
geschrotet	shredded
geschrubbt	swabbed
geschrumpelt	shriveled
geschrumpft	shrinked
geschruppt	scrubbed
geschubst	pitchforked
geschuftet	slaved
geschuldet	owed
geschult	educated
geschultert	shouldered
geschult	trained
geschummelt	cheated
geschunden	maltreated
geschuppt	scaled
geschustert	cobbled
geschwächt	attenuated
geschwängert	impregnated
geschwänzelt	fawned
geschwänzt	caudate
geschwärmt	enthused
geschwärt	festered
geschwärzt	blackened
geschwätzig	babblative
geschwätziger	gabbier
geschwätzig	gabby
geschwätzigkeiten	garrulousness
geschwätzigkeit	garrulity
geschwätzig	loquacious
geschwätzigste	gabbiest
geschwätzig	windy
geschwätzt	prated
geschwätz	babble
geschwülste	growths
geschwürartig	ulcerous
geschwürbildung	ulceration
geschwüre	ulcers
geschwürig	ulcerative
geschwür	boil
geschwabbelt	buffed
geschwader	fleet
geschwafelt	babbled
geschwafel	blah
geschwankt	faltered
geschwappt	swashed
geschwatzt	blabbed
geschwebt	floated
geschwefelt	sulfurated
geschweißt	welded
geschweift	caudate
geschwelgt	indulged
geschwelt	smoldered
geschwemmt	washed
geschwenkt	panned
geschwindelt	bogus
geschwindigkeiten	celerities
geschwindigkeitsüberschreitung	speeding
geschwindigkeitsübertretung	speeding
geschwindigkeitsanzeiger	speedometer
geschwindigkeitserhöhung	acceleration
geschwindigkeitsmesser	speedometer
geschwindigkeitsmessung	velocimetry
geschwindigkeitsschreiber	tachograph
